i,j,value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
1,0,0
1,1,8.59661e-21
1,2,2.22125e-20
1,3,4.8538e-20
1,4,1.01882e-19
1,5,2.10211e-19
1,6,4.28354e-19
1,7,8.62898e-19
1,8,1.71869e-18
1,9,3.38464e-18
1,10,6.59007e-18
1,11,1.26856e-17
1,12,2.41409e-17
1,13,4.5415e-17
1,14,8.44554e-17
1,15,1.55246e-16
1,16,2.82069e-16
1,17,5.06546e-16
1,18,8.99065e-16
1,19,1.57708e-15
1,20,2.73398e-15
1,21,4.68376e-15
1,22,7.92939e-15
1,23,1.32653e-14
1,24,2.19285e-14
1,25,3.58186e-14
1,26,5.78098e-14
1,27,9.21891e-14
1,28,1.45255e-13
1,29,2.26127e-13
1,30,3.47803e-13
1,31,5.28531e-13
1,32,7.93525e-13
1,33,1.17707e-12
1,34,1.72501e-12
1,35,2.49768e-12
1,36,3.57304e-12
1,37,5.05011e-12
1,38,7.05238e-12
1,39,9.73087e-12
1,40,1.32667e-11
1,41,1.78725e-11
1,42,2.37924e-11
1,43,3.13e-11
1,44,4.06939e-11
1,45,5.22903e-11
1,46,6.64131e-11
1,47,8.33801e-11
1,48,1.03488e-10
1,49,1.26992e-10
1,50,1.54091e-10
1,51,1.84901e-10
1,52,2.19443e-10
1,53,2.57624e-10
1,54,2.99225e-10
1,55,3.43894e-10
1,56,3.91145e-10
1,57,4.40366e-10
1,58,4.90825e-10
1,59,5.41696e-10
1,60,5.92077e-10
1,61,6.41019e-10
1,62,6.87558e-10
1,63,7.30743e-10
1,64,7.69667e-10
1,65,8.03499e-10
1,66,8.31503e-10
1,67,8.53066e-10
1,68,8.67713e-10
1,69,8.75118e-10
1,70,8.75118e-10
1,71,8.67713e-10
1,72,8.53066e-10
1,73,8.31503e-10
1,74,8.03499e-10
1,75,7.69667e-10
1,76,7.30743e-10
1,77,6.87558e-10
1,78,6.41018e-10
1,79,5.92074e-10
1,80,5.41691e-10
1,81,4.90817e-10
1,82,4.40352e-10
1,83,3.91123e-10
1,84,3.43858e-10
1,85,2.99167e-10
1,86,2.57532e-10
1,87,2.19298e-10
1,88,1.84675e-10
1,89,1.53743e-10
1,90,1.26464e-10
1,91,1.02694e-10
1,92,8.22031e-11
1,93,6.46881e-11
1,94,4.97926e-11
1,95,3.71209e-11
1,96,2.62499e-11
1,97,1.674e-11
1,98,8.14164e-12
1,99,0
2,0,0
2,1,2.22125e-20
2,2,5.7384e-20
2,3,1.25364e-19
2,4,2.63075e-19
2,5,5.42654e-19
2,6,1.1055e-18
2,7,2.2264e-18
2,8,4.43333e-18
2,9,8.72845e-18
2,10,1.69906e-17
2,11,3.26982e-17
2,12,6.22106e-17
2,13,1.17006e-16
2,14,2.17538e-16
2,15,3.99788e-16
2,16,7.26222e-16
2,17,1.30388e-15
2,18,2.31376e-15
2,19,4.0578e-15
2,20,7.03301e-15
2,21,1.20463e-14
2,22,2.03898e-14
2,23,3.4104e-14
2,24,5.63661e-14
2,25,9.20529e-14
2,26,1.48543e-13
2,27,2.3684e-13
2,28,3.73108e-13
2,29,5.80742e-13
2,30,8.93089e-13
2,31,1.35695e-12
2,32,2.03699e-12
2,33,3.0211e-12
2,34,4.42686e-12
2,35,6.40886e-12
2,36,9.16694e-12
2,37,1.29549e-11
2,38,1.8089e-11
2,39,2.49562e-11
2,40,3.40206e-11
2,41,4.58266e-11
2,42,6.09996e-11
2,43,8.024e-11
2,44,1.04312e-10
2,45,1.34026e-10
2,46,1.7021e-10
2,47,2.13679e-10
2,48,2.65189e-10
2,49,3.25398e-10
2,50,3.94808e-10
2,51,4.73722e-10
2,52,5.62189e-10
2,53,6.59972e-10
2,54,7.66509e-10
2,55,8.80899e-10
2,56,1.0019e-09
2,57,1.12794e-09
2,58,1.25714e-09
2,59,1.3874e-09
2,60,1.51641e-09
2,61,1.64172e-09
2,62,1.76088e-09
2,63,1.87146e-09
2,64,1.97112e-09
2,65,2.05774e-09
2,66,2.12944e-09
2,67,2.18465e-09
2,68,2.22216e-09
2,69,2.24112e-09
2,70,2.24112e-09
2,71,2.22216e-09
2,72,2.18465e-09
2,73,2.12944e-09
2,74,2.05774e-09
2,75,1.97112e-09
2,76,1.87145e-09
2,77,1.76088e-09
2,78,1.64172e-09
2,79,1.5164e-09
2,80,1.38739e-09
2,81,1.25712e-09
2,82,1.1279e-09
2,83,1.00184e-09
2,84,8.80807e-10
2,85,7.66361e-10
2,86,6.59735e-10
2,87,5.61816e-10
2,88,4.73141e-10
2,89,3.93915e-10
2,90,3.24041e-10
2,91,2.63152e-10
2,92,2.10658e-10
2,93,1.65783e-10
2,94,1.27617e-10
2,95,9.51453e-11
2,96,6.72851e-11
2,97,4.29106e-11
2,98,2.08704e-11
2,99,0
3,0,0
3,1,4.8538e-20
3,2,1.25364e-19
3,3,2.73792e-19
3,4,5.74352e-19
3,5,1.18433e-18
3,6,2.41189e-18
3,7,4.85572e-18
3,8,9.66571e-18
3,9,1.90238e-17
3,10,3.70192e-17
3,11,7.12201e-17
3,12,1.35458e-16
3,13,2.54691e-16
3,14,4.73378e-16
3,15,8.69704e-16
3,16,1.57937e-15
3,17,2.83482e-15
3,18,5.029e-15
3,19,8.81725e-15
3,20,1.5278e-14
3,21,2.61614e-14
3,22,4.42698e-14
3,23,7.40267e-14
3,24,1.22318e-13
3,25,1.99712e-13
3,26,3.22194e-13
3,27,5.13592e-13
3,28,8.08908e-13
3,29,1.25879e-12
3,30,1.9354e-12
3,31,2.94002e-12
3,32,4.41252e-12
3,33,6.54303e-12
3,34,9.58578e-12
3,35,1.3875e-11
3,36,1.98427e-11
3,37,2.80372e-11
3,38,3.91423e-11
3,39,5.39937e-11
3,40,7.35938e-11
3,41,9.91186e-11
3,42,1.31918e-10
3,43,1.73505e-10
3,44,2.25529e-10
3,45,2.89739e-10
3,46,3.67922e-10
3,47,4.61834e-10
3,48,5.7311e-10
3,49,7.03166e-10
3,50,8.53085e-10
3,51,1.02352e-09
3,52,1.21457e-09
3,53,1.42573e-09
3,54,1.65578e-09
3,55,1.90278e-09
3,56,2.16403e-09
3,57,2.43616e-09
3,58,2.71512e-09
3,59,2.99634e-09
3,60,3.27484e-09
3,61,3.54538e-09
3,62,3.80263e-09
3,63,4.04134e-09
