Device: Tesla P100-SXM2-16GB
Transfer size (MB): 4
Single Precision
Offset, Bandwidth (GB/s):
0, 663.130005
1, 615.763550
2, 626.566406
3, 609.756104
4, 605.326904
5, 614.250610
6, 611.246948
7, 617.283936
8, 654.450256
9, 603.864746
10, 608.272522
11, 609.756104
12, 608.272522
13, 609.756104
14, 617.283936
15, 634.517761
16, 675.675659
17, 605.326904
18, 612.745117
19, 612.745117
20, 602.409668
21, 598.086121
22, 602.409668
23, 611.246948
24, 677.506775
25, 600.961548
26, 611.246948
27, 614.250610
28, 595.238098
29, 621.890564
30, 615.763550
31, 600.961548
32, 686.813171

Stride, Bandwidth (GB/s):
1, 688.705261
2, 306.748474
3, 182.348648
4, 137.287201
5, 106.700813
6, 88.715401
7, 75.551521
8, 65.325317
9, 64.432991
10, 63.645618
11, 63.019913
12, 62.282017
13, 60.901344
14, 59.722881
15, 57.683434
16, 58.356674
17, 54.836586
18, 53.844494
19, 52.764877
20, 51.398029
21, 50.090160
22, 48.809059
23, 46.572281
24, 47.214352
25, 43.813530
26, 42.999657
27, 41.771091
28, 41.274559
29, 39.215687
30, 38.343559
31, 36.608582
32, 38.508934
