Test from blockIdx.x = 1; threadIdx.x = 0; blockIdx.y = 1; threadIdx.y = 0; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 1; blockIdx.y = 1; threadIdx.y = 0; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 2; blockIdx.y = 1; threadIdx.y = 0; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 3; blockIdx.y = 1; threadIdx.y = 0; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 0; blockIdx.y = 1; threadIdx.y = 1; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 1; blockIdx.y = 1; threadIdx.y = 1; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 2; blockIdx.y = 1; threadIdx.y = 1; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 3; blockIdx.y = 1; threadIdx.y = 1; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 0; blockIdx.y = 1; threadIdx.y = 2; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 1; blockIdx.y = 1; threadIdx.y = 2; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 2; blockIdx.y = 1; threadIdx.y = 2; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 3; blockIdx.y = 1; threadIdx.y = 2; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 0; blockIdx.y = 1; threadIdx.y = 3; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 1; blockIdx.y = 1; threadIdx.y = 3; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 2; blockIdx.y = 1; threadIdx.y = 3; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 3; blockIdx.y = 1; threadIdx.y = 3; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 0; blockIdx.y = 1; threadIdx.y = 4; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 1; blockIdx.y = 1; threadIdx.y = 4; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 2; blockIdx.y = 1; threadIdx.y = 4; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 3; blockIdx.y = 1; threadIdx.y = 4; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 0; blockIdx.y = 2; threadIdx.y = 0; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 1; blockIdx.y = 2; threadIdx.y = 0; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 2; blockIdx.y = 2; threadIdx.y = 0; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 3; blockIdx.y = 2; threadIdx.y = 0; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 0; blockIdx.y = 2; threadIdx.y = 1; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 1; blockIdx.y = 2; threadIdx.y = 1; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 2; blockIdx.y = 2; threadIdx.y = 1; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 3; blockIdx.y = 2; threadIdx.y = 1; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 0; blockIdx.y = 2; threadIdx.y = 2; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 1; blockIdx.y = 2; threadIdx.y = 2; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 2; blockIdx.y = 2; threadIdx.y = 2; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 3; blockIdx.y = 2; threadIdx.y = 2; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 0; blockIdx.y = 2; threadIdx.y = 3; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 1; blockIdx.y = 2; threadIdx.y = 3; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 2; blockIdx.y = 2; threadIdx.y = 3; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 3; blockIdx.y = 2; threadIdx.y = 3; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 0; blockIdx.y = 2; threadIdx.y = 4; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 1; blockIdx.y = 2; threadIdx.y = 4; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 2; blockIdx.y = 2; threadIdx.y = 4; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 1; threadIdx.x = 3; blockIdx.y = 2; threadIdx.y = 4; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 0; threadIdx.x = 0; blockIdx.y = 2; threadIdx.y = 0; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
Test from blockIdx.x = 0; threadIdx.x = 1; blockIdx.y = 2; threadIdx.y = 0; blockDim.x = 4; blockDim.y = 5; gridDim.x = 2; gridDim.y = 3
